sku	price	quantity	leadtime-to-ship
9969908-BLACK-WHITE-2X-LARGE	35.99	0	1
9969908-BLU-JEWEL-BLACK-SMALL	35.99	0	1
9969908-BLU-JEWEL-BLACK-MEDIUM	35.99	0	1
9969908-BLU-JEWEL-BLACK-LARGE	35.99	0	1
9969908-BLU-JEWEL-BLACK-X-LARGE	35.99	0	1
9969908-RED-BLACK-SMALL	35.99	0	1
9969908-RED-BLACK-MEDIUM	35.99	0	1
9969908-RED-BLACK-LARGE	35.99	0	1
9969908-RED-BLACK-X-LARGE	35.99	0	1
9969908-WHITE-BLACK-SMALL	35.99	0	1
9969911-BLACK-WHITE-XXL	21	0	1
9969911-WHITE-BLACK-SM	21	0	1
9969911-WHITE-BLACK-MED	21	0	1
9969911-WHITE-BLACK-LRG	21	0	1
9969911-WHITE-BLACK-XLG	21	0	1
9969911-WHITE-BLACK-XXL	21	0	1
9969912-BLACK-SMALL	31.45	0	1
9969912-BLACK-MEDIUM	31.45	0	1
9969912-BLACK-LARGE	31.45	0	1
9969912-BLACK-X-LARGE	31.45	0	1
9969912-BLACK-2X-LARGE	31.45	0	1
9969912-BLK-HIGH-YELLOW-SMALL	31.45	0	1
9969912-BLK-HIGH-YELLOW-MEDIUM	31.45	0	1
9969912-BLK-HIGH-YELLOW-LARGE	31.45	0	1
9969912-BLK-HIGH-YELLOW-X-LARGE	31.45	0	1
9969912-BLK-HIGH-YELLOW-2X-LARGE	31.45	0	1
9969914-BLACK-HEATHER-SMALL	26.99	0	1
9969914-BLACK-HEATHER-MEDIUM	26.99	0	1
9969914-BLACK-HEATHER-LARGE	26.99	0	1
9969915-BLACK-LARGE	23.99	0	1
9969915-BLACK-X-LARGE	23.99	0	1
9969915-BLACK-2X-LARGE	23.99	0	1
9969915-GLWNG-RED-BLACK-X-SMALL	23.99	0	1
9969915-GLWNG-RED-BLACK-SMALL	23.99	0	1
9969915-GLWNG-RED-BLACK-MEDIUM	23.99	0	1
9969915-GLWNG-RED-BLACK-LARGE	23.99	0	1
9969915-GLWNG-RED-BLACK-X-LARGE	23.99	0	1
9969915-GLWNG-RED-BLACK-2X-LARGE	23.99	0	1
9969915-MILSPEC-BLACK-X-SMALL	23.99	0	1
9969915-MILSPEC-BLACK-SMALL	23.99	0	1
9969915-MILSPEC-BLACK-MEDIUM	23.99	0	1
9969915-MILSPEC-BLACK-LARGE	23.99	0	1
9969915-MILSPEC-BLACK-X-LARGE	23.99	0	1
9969915-MILSPEC-BLACK-2X-LARGE	23.99	0	1
9969915-WHITE-X-SMALL	23.99	0	1
9969915-WHITE-SMALL	23.99	0	1
9969915-WHITE-MEDIUM	23.99	0	1
9969915-WHITE-LARGE	23.99	0	1
9969915-WHITE-X-LARGE	23.99	0	1
9969915-WHITE-2X-LARGE	23.99	0	1
9969916-GLOWING-RED-SMALL	35.99	0	1
9969916-GLOWING-RED-MEDIUM	35.99	0	1
9969916-GLOWING-RED-LARGE	35.99	0	1
9969916-GLOWING-RED-X-LARGE	35.99	0	1
9969916-BLACK-WHITE-SMALL	35.99	0	1
9969916-BLACK-WHITE-MEDIUM	35.99	0	1
9969916-BLACK-WHITE-LARGE	35.99	0	1
9969916-BLACK-WHITE-X-LARGE	35.99	0	1
9969916-BLACK-WHITE-2X-LARGE	35.99	0	1
9969919-BLACK-WHITE-SMALL	35.99	0	1
9969919-BLACK-WHITE-MEDIUM	35.99	0	1
9969919-BLACK-WHITE-LARGE	35.99	0	1
9969919-TI-HIGH-YELLOW-SMALL	35.99	0	1
9969919-TI-HIGH-YELLOW-MEDIUM	35.99	0	1
9969919-TI-HIGH-YELLOW-LARGE	35.99	0	1
9969920-BLACK-SMALL	31.45	0	1
9969914-GLOWING-RED-MEDIUM	26.99	0	1
9969914-GLOWING-RED-LARGE	26.99	0	1
9969914-GLOWING-RED-X-LARGE	26.99	0	1
9969914-GLOWING-RED-2X-LARGE	26.99	0	1
9969914-INDUSTR-GREEN-X-SMALL	26.99	0	1
9969914-INDUSTR-GREEN-SMALL	26.99	0	1
9969914-INDUSTR-GREEN-MEDIUM	26.99	0	1
9969914-INDUSTR-GREEN-LARGE	26.99	0	1
9969914-INDUSTR-GREEN-X-LARGE	26.99	0	1
9969914-INDUSTR-GREEN-2X-LARGE	26.99	0	1
9969914-MILSPEC-SMALL	26.99	0	1
9969914-MILSPEC-MEDIUM	26.99	0	1
9969914-MILSPEC-LARGE	26.99	0	1
9969914-MILSPEC-X-LARGE	26.99	0	1
9969914-MILSPEC-2X-LARGE	26.99	0	1
9969915-BLACK-X-SMALL	23.99	0	1
9969915-BLACK-SMALL	23.99	0	1
9969908-WHITE-BLACK-LARGE	35.99	0	1
9969908-WHITE-BLACK-X-LARGE	35.99	0	1
9969908-WHITE-BLACK-2X-LARGE	35.99	0	1
9969911-BLK-HIGH-YELLOW-SM	21	0	1
9969911-BLK-HIGH-YELLOW-MED	21	0	1
9969911-BLK-HIGH-YELLOW-LRG	21	0	1
9969911-BLK-HIGH-YELLOW-XLG	21	0	1
9969911-BLACK-WHITE-SM	21	0	1
9969911-BLACK-WHITE-MED	21	0	1
9969911-BLACK-WHITE-LRG	21	0	1
9969923-TI-HIGH-YELLOW-SMALL	23.35	0	1
9969923-TI-HIGH-YELLOW-MEDIUM	23.35	0	1
9969923-TI-HIGH-YELLOW-LARGE	23.35	0	1
9969923-WHITE-TITANIUM-SMALL	23.35	0	1
9969923-WHITE-TITANIUM-MEDIUM	23.35	0	1
9969923-WHITE-TITANIUM-LARGE	23.35	0	1
9969923-BLACK-WHITE-SMALL	23.35	0	1
9969923-BLACK-WHITE-MEDIUM	23.35	0	1
9969927-PINK-BLACK-MEDIUM	17.99	0	1
9969927-PINK-BLACK-LARGE	17.99	0	1
9969931-SEP-LTHR-BLACK-39	129.99	0	1
9969931-SEP-LTHR-BLACK-40	129.99	0	1
9969931-SEP-LTHR-BLACK-41	129.99	0	1
9969931-SEP-LTHR-BLACK-42	129.99	0	1
9969931-SEP-LTHR-BLACK-43	129.99	0	1
9969931-SEP-LTHR-BLACK-44	129.99	0	1
9969931-SEP-LTHR-BLACK-45	129.99	0	1
9969931-SEP-LTHR-BLACK-46	129.99	0	1
9969931-SEP-LTHR-BLACK-47	129.99	0	1
9969931-SEP-LTHR-BLACK-48	129.99	0	1
9969931-DK-SHADOW-REFL-39	129.99	0	1
9969931-DK-SHADOW-REFL-40	129.99	0	1
9969931-DK-SHADOW-REFL-41	129.99	0	1
9969931-DK-SHADOW-REFL-42	129.99	0	1
9969931-DK-SHADOW-REFL-43	129.99	0	1
